s	sd	sd/s	U	min_Kolmogorov	RMSE
0.000224	0.000356	0.8899999999999999	0.006	0.0014548936087031	0.0004332975743149
0.00041	4e-05	0.1	0.006	0.0018288282162075	0.0005920445579638
0.0002	0.00038	0.95	0.006	0.000871347625996	0.0002681776614877
0.00013	0.000508	1.27	0.006	0.0012718836837971	0.0003894033030285
0.00038	0.000128	0.31999999999999995	0.006	0.0002504713471122	9.66927573426326e-05
4.4e-05	0.0008	2.0	0.006	0.0086806294656432	0.0033177296471701
0.000286	0.000288	0.72	0.006	0.0003683783961396	0.0001300222880572
8e-05	0.000624	1.5599999999999998	0.006	0.0056294609901504	0.0020653541766814
0.000158	0.000476	1.19	0.006	0.0014123018775126	0.0004291600625403
0.000178	0.000444	1.1099999999999999	0.006	0.0023296287617695	0.000699786447854
6.2e-05	0.000696	1.74	0.006	0.0072295040975774	0.0027077183257033
0.000148	0.000488	1.22	0.006	0.0008696176297022	0.0002982203209578
6e-05	0.000728	1.82	0.006	0.0060093729960722	0.0021500522373939
0.000278	0.000272	0.6799999999999999	0.006	0.0005996264372124	0.0001888949560695
0.000396	7.2e-05	0.18	0.006	0.0009304415407784	0.0003613680540581
8.2e-05	0.000648	1.62	0.006	0.0049983200063962	0.0019680584394742
0.000154	0.00046	1.15	0.006	0.0025159117413853	0.0008207054207657
0.000144	0.000484	1.21	0.006	0.0001085798932159	3.071914627508887e-05
0.000112	0.000516	1.2899999999999998	0.006	0.0042037256860344	0.0014470533656429
0.00025	0.000324	0.81	0.006	0.0009682828466535	0.0003263430906072
4.4e-05	0.00076	1.9	0.006	0.0079495466114795	0.0029838902815336
0.000318	0.000228	0.57	0.006	0.0019050349187045	0.000571977522336
4.2e-05	0.000792	1.9799999999999998	0.006	0.0077627280002436	0.0029399871097877
0.000114	0.000544	1.3599999999999999	0.006	0.0016116341907775	0.0006272587937205
0.000152	0.00048	1.2	0.006	0.0014334181476461	0.0005196521876791
