s	sd	sd/s	U	min_Kolmogorov	RMSE
0.001	0.00179	1.7899999999999998	0.00018	0.008663423236921	0.0032652421407373
0.001	0.00116	1.16	0.00054	0.0081181588590226	0.002875222941721
0.001	0.00174	1.74	0.00018	0.0070262468927292	0.0026479734895822
0.001	0.00011	0.11	0.00594	0.0003358604257952	0.0001131352461496
0.001	0.00026	0.25999999999999995	0.0054	0.0010890270499085	0.0003240489913356
0.001	0.00118	1.18	0.00048	0.0087724165004298	0.0029377791168699
0.001	0.00041	0.41	0.00459	0.0007845371739103	0.0002839443456118
0.001	0.00046	0.46	0.00435	0.0004613826243344	0.0002003969418833
0.001	0.0014	1.4	0.0003	0.0061779766308466	0.0025720675752704
0.001	0.00135	1.35	0.00033	0.0060230612004489	0.0020053046483703
0.001	0.00136	1.36	0.00033	0.0068386248375488	0.0025336800019958
0.001	0.00161	1.61	0.00021	0.0066364076400634	0.0024876126272123
0.001	0.00123	1.23	0.00045	0.0072311813493275	0.002409767974909
0.001	0.0006	0.6	0.00306	0.0051367629251185	0.0015820457575754
0.001	0.00033	0.33	0.00525	0.0009754784927555	0.0003021439015699
0.001	7e-05	0.06999999999999999	0.00588	0.0003110056053565	0.0001145825309251
0.001	0.00086	0.86	0.00108	0.0164709307117392	0.0062559392258688
0.001	0.00021	0.21	0.00537	0.0025329653686715	0.0007971199657395
0.001	0.00066	0.66	0.00306	0.0035403102624952	0.0010366027839559
0.001	0.00114	1.14	0.00054	0.0091329773142225	0.0029996461045448
0.001	0.00093	0.93	0.00105	0.012789216588714	0.0047680184090401
0.001	0.00151	1.51	0.00024	0.0068142116318353	0.0024815960019948
0.001	0.00153	1.5299999999999998	0.00024	0.0064625585697224	0.0025839454147453
0.001	0.00194	1.9400000000000002	0.00018	0.0083959177898674	0.0033325667604502
0.001	0.00027	0.27	0.00528	0.0013019162749342	0.0003970901284399
0.001	0.00184	1.84	0.00018	0.008110429808096	0.0033457399338607
0.001	0.0007	0.7	0.00225	0.0119704002191125	0.0040918302643844
0.001	0.00072	0.7200000000000001	0.00198	0.0120495647525069	0.0044395089824089
0.001	0.00016	0.16	0.00591	0.0007448244234047	0.0002395568893208
0.001	0.00091	0.91	0.00105	0.0145196311324455	0.004739222516233
0.001	0.00107	1.07	0.00063	0.0092328254818825	0.0032804532398091
0.001	0.00152	1.52	0.00024	0.0053182910891872	0.0021525582502763
0.001	0.00176	1.76	0.00018	0.0066242155723051	0.0026175323682419
0.001	0.00031	0.31	0.00543	0.0007374220844493	0.0002678506838599
0.001	0.00055	0.55	0.00372	0.0024900213403654	0.0007230654958682
0.001	0.00081	0.8099999999999999	0.00126	0.0195106597483	0.0068037326503302
0.001	0.00017	0.17	0.00588	0.0003684999106734	0.000101172139473
0.001	0.00022	0.22	0.00552	0.0007171891273819	0.0002390845143467
0.001	0.00102	1.02	0.00072	0.0120285305687541	0.0044195029391905
0.001	0.00168	1.68	0.00021	0.0067521739836691	0.0025707164102823
0.001	0.00177	1.77	0.00018	0.0071081827197257	0.0029824998297501
0.001	0.00182	1.82	0.00018	0.0073428760204642	0.0031137033800246
0.001	6e-05	0.06	0.00585	0.0007810313872876	0.0002376193456063
0.001	0.00075	0.75	0.00171	0.0155120217567272	0.0054873435562792
0.001	0.00143	1.43	0.00027	0.0045112474692725	0.0017722822062103
0.001	0.00137	1.3699999999999999	0.0003	0.0069393769162589	0.0023934383643522
0.001	0.00196	1.96	0.00018	0.0088786351641585	0.0033658246440551
0.001	0.00085	0.85	0.00126	0.0197705080189682	0.005977609304913
0.001	0.00127	1.27	0.00039	0.0091377626960943	0.0033703727685802
0.001	0.00132	1.32	0.00036	0.0058231539859082	0.0021550595232561
0.001	0.00068	0.68	0.00225	0.0111499333669188	0.0042191854877511
0.001	0.00157	1.57	0.00021	0.0076230051154413	0.0026795046686925
0.001	0.001	1.0	0.00075	0.0111859009885171	0.0040756619439132
0.001	0.00195	1.95	0.00018	0.0095585332066415	0.0035090478345223
0.001	0.0008	0.8	0.00138	0.0161917925661639	0.0056072204807259
0.001	0.00192	1.92	0.00018	0.008282016078622	0.0033814839145602
0.001	0.00096	0.96	0.0009	0.0131746430361432	0.0046011936461328
0.001	0.00014	0.13999999999999999	0.0057	0.0010411845620177	0.0003176872256168
0.001	3e-05	0.03	0.00591	0.0007180534684595	0.0002661611631407
0.001	0.00029	0.29	0.00525	0.00059607584904	0.0001877911209384
0.001	0.0019	1.9	0.00018	0.0084687810163728	0.0034851675866001
0.001	0.00038	0.38	0.0048	0.0020015291262024	0.0006616072038917
0.001	0.00012	0.12	0.00582	0.0011148626505631	0.000342364781798
0.001	0.00079	0.79	0.00138	0.0188645501655821	0.0063301015138277
0.001	0.0016	1.6	0.00021	0.0073424766560428	0.0025857774833652
0.001	0.00061	0.61	0.00309	0.0049135181209367	0.0015311269918262
