sim_id	seed	popsize	selcoef	sigma	mutrate	velocity	profile
20	2844971108	5000.0	0.001	0.00124	0.006	0.679470	0.00026714657068586283,0.004441631673665267,0.020342091581683663,0.0397748850229954,0.07631809638072386,0.13449618076384723,0.15909242151569686,0.14251989602079584,0.11174653069386123,0.10313525294941012,0.07417784443111378,0.04953585282943411,0.032928134373125376,0.02462259548090382,0.015045350929814037,0.0072581083783243355,0.002722095580883823,0.0007730453909218156,0.0006114777044591082,0.00017968406318736254,1.1677664467106578e-05
21	2714355813	5000.0	0.001	0.00124	0.006	1.050379	0.0022750649870025997,0.008815396920615877,0.018956888622275545,0.034809598080383926,0.05461383723255349,0.0700877024595081,0.0887754449110178,0.10789718056388722,0.14261115776844632,0.14617984403119377,0.11550317936412717,0.08522915416916617,0.0596499900019996,0.032626834633073386,0.017760527894421115,0.009748330333933214,0.003800199960007998,0.000581003799240152,7.742451509698061e-05,1.2397520495900819e-06
28	3370952827	5000.0	0.001	0.00124	0.006	0.941577	0.0011500899820035993,0.004018316336732653,0.015278064387122576,0.04271597680463907,0.07699384123175365,0.11217296540691861,0.1242120775844831,0.1259244951009798,0.12408490301939612,0.10274249150169966,0.06821051789642071,0.04877096580683863,0.04478272345530894,0.04970413917216557,0.030182123575284943,0.01499372125574885,0.008095340931813638,0.0031000199960008,0.0008040791841631673,0.0003674865026994601,0.000519496100779844,0.0005102979404119177,0.00040831833633273344,0.0001231753649270146,9.246150769846031e-05,3.675264947010598e-05,5.038992201559688e-06,1.199760047990402e-07
27	1301991546	5000.0	0.001	0.00124	0.006	0.682506	0.0023402119576084782,0.004488582283543291,0.008122335532893422,0.004620635872825435,0.0021416516696660666,0.004573085382923415,0.011546210757848431,0.024082943411317736,0.04414601079784043,0.08661111777644472,0.15230369926014797,0.21179512097580483,0.19603379324135173,0.13116828634273145,0.07307358528294342,0.02762263547290542,0.009648510297940413,0.0032530693861227756,0.001344371125774845,0.0007706458708258349,0.0002874225154969006,1.5356928614277145e-05,6.678664267146571e-06,4.039192161567687e-06
29	1956743292	5000.0	0.001	0.00124	0.006	0.655267	0.001617756448710258,0.016806038792241552,0.051684663067386526,0.10166074785042992,0.14587342531493702,0.1555019796040792,0.13927786442711457,0.13488454309138173,0.11475172965406918,0.07490673865226954,0.039190801839632076,0.016458348330333935,0.005276104779044191,0.001581123775244951,0.00032305538892221555,0.0001787242551489702,2.483503299340132e-05,1.5196960607878424e-06
30	71796862	5000.0	0.001	0.00124	0.006	0.787446	0.0006930213957208559,0.006661427714457108,0.022166086782643472,0.03611441711657668,0.03943399320135973,0.055143291341731654,0.09692933413317337,0.15974497100579885,0.18164371125774845,0.14670269946010797,0.10491821635672866,0.07069634073185363,0.04504827034593081,0.01957972405518896,0.008434073185362927,0.002310977804439112,0.0013096980603879225,0.0005601679664067186,0.0006098380323935213,0.00024087182563487303,0.0006259148170365927,0.0003827634473105379,4.859028194361128e-05,1.5996800639872026e-06
31	3611467907	5000.0	0.001	0.00124	0.006	0.836238	0.00029798040391921615,0.001121135772845431,0.008762647470505898,0.03537012597480504,0.092323575284943,0.15429678064387123,0.18289954009198162,0.18508654269146171,0.14323007398520296,0.09336856628674266,0.05420863827234553,0.02972253549290142,0.013329854029194161,0.004731493701259748,0.0009798440311937612,0.00021155768846230753,5.8868226354729054e-05,2.399520095980804e-07
32	3277189252	5000.0	0.001	0.00124	0.006	0.570568	0.002446750649870026,0.010685382923415317,0.03135540891821636,0.07364895020995801,0.12415132973405318,0.16413145370925813,0.17337100579884024,0.14916764647070585,0.1057131373725255,0.06328898220355929,0.049074625074985,0.02889734053189362,0.014082783443311337,0.007046510697860428,0.0018877824435112977,0.000682623475304939,0.0003261747650469906,4.147170565886823e-05,5.99880023995201e-07,3.9992001599680065e-08
26	551159927	5000.0	0.001	0.00124	0.006	0.735683	0.002120735852829434,0.010568326334733053,0.028980683863227354,0.05374409118176365,0.08736860627874425,0.12043019396120776,0.1310603879224155,0.13697232553489302,0.1282629074185163,0.1046382723455309,0.08097412517496501,0.04735548890221956,0.032531613677264544,0.02274781043791242,0.008853189362127575,0.002667906418716257,0.0005500899820035992,0.0001506498700259948,2.0835832833433314e-05,1.7596480703859228e-06
24	1652709487	5000.0	0.001	0.00124	0.006	0.918623	0.0005866826634673065,0.0013978404319136173,0.0023780443911217758,0.0016574685062987402,0.008579564087182563,0.02276660667866427,0.05195412917416517,0.10133997200559888,0.143023475304939,0.1701735652869426,0.16480347930413916,0.14151405718856228,0.09851365726854629,0.053339172165566884,0.023136492701459708,0.00948138372325535,0.003698220355928814,0.001471625674865027,0.000150249950009998,3.083383323335333e-05,3.4393121375724856e-06,3.9992001599680065e-08
38	993478802	5000.0	0.001	0.00124	0.006	0.739103	0.0008737052589482103,0.0026807038592281543,0.008074105178964208,0.01419132173565287,0.026337212557488502,0.04757744451109778,0.08555340931813638,0.11943247350529894,0.11679292141571686,0.11015260947810437,0.1062755848830234,0.11282147570485902,0.09156848630273945,0.07138100379924016,0.03762843431313737,0.018293501299740052,0.008132973405318936,0.003923495300939812,0.004291061787642472,0.006310737852429514,0.005143171365726854,0.001791121775644871,0.0004369926014797041,0.00021379724055188963,8.674265146970605e-05,1.9716056788642272e-05,1.5396920615876825e-05,3.9992001599680065e-07
36	3313164428	5000.0	0.001	0.00124	0.006	0.338663	0.012376884623075384,0.030587162567486503,0.049909778044391125,0.07613337332533493,0.11620707858428314,0.1406101579684063,0.14551385722855428,0.12266050789842031,0.08745726854629074,0.05673137372525495,0.05148574285142971,0.03999684063187363,0.02559908018396321,0.01680735852829434,0.010352009598080384,0.008807118576284743,0.004632393521295741,0.0016279144171165768,0.0007713657268546291,0.001280623875224955,0.0003959608078384323,5.310937812437512e-05,2.7994401119776045e-06,2.399520095980804e-07
35	1730465926	5000.0	0.001	0.00124	0.006	0.392328	0.0010321535692861428,0.0046749050189962005,0.02272637472505499,0.07564271145770846,0.1159242151569686,0.16423219356128774,0.15576292741451708,0.1406635872825435,0.12323943211357728,0.08313985202959408,0.05597032593481304,0.03420619876024795,0.013921095780843832,0.006274225154969006,0.002118856228754249,0.0004319936012797441,1.6756648670265946e-05,2.2115576884623077e-05,7.998400319936013e-08
39	4098353301	5000.0	0.001	0.00124	0.006	0.532510	0.0005606878624275145,0.009049670065986802,0.03934485102979404,0.11305910817836433,0.16350853829234152,0.18997080583883225,0.17126994601079784,0.13235708858228354,0.07920963807238553,0.04970381923615277,0.027304619076184762,0.013640231953609278,0.005906778644271146,0.003091741651669666,0.000708498300339932,0.00011409718056388722,0.00020823835232953409,0.0008465506898620276,0.00014317136572685463,1.919616076784643e-06
34	2748909702	5000.0	0.001	0.00124	0.006	0.714604	0.0017105778844231153,0.00996120775844831,0.040773165366926614,0.09727986402719456,0.15155632873425315,0.18819348130373925,0.1794239552089582,0.13289022195560887,0.0953752449510098,0.059063267346530696,0.027036992601479706,0.0119501299740052,0.0035750049990002,0.0008095180963807239,0.00028426314737052587,0.00010213957208558288,3.279344131173765e-06,1.1317736452709458e-05,3.9992001599680065e-08
37	3526316175	5000.0	0.001	0.00124	0.006	0.520084	0.002440911817636473,0.017667466506698662,0.048434233153369324,0.07164051189762048,0.12786574685062987,0.1625021395720856,0.16878244351129773,0.1499756848630274,0.10866574685062988,0.0658734653069386,0.03662855428914217,0.021762647470505898,0.010907938412317537,0.004463907218556289,0.0017994401119776045,0.0004984603079384123,8.698260347930414e-05,3.639272145570886e-06,7.998400319936013e-08
25	4086741105	5000.0	0.001	0.00124	0.006	0.806696	0.000992881423715257,0.005482263547290542,0.009321015796840632,0.0304126774645071,0.06820527894421116,0.11742919416116776,0.15303207358528295,0.15345986802639472,0.13300851829634072,0.10495212957408519,0.06943451309738052,0.048346890621875624,0.04179624075184963,0.027329294141171766,0.02250633873225355,0.010981483703259349,0.002407358528294341,0.0008156368726254749,8.314337132573485e-05,3.1593681263747252e-06,3.9992001599680065e-08
33	3520452741	5000.0	0.001	0.00124	0.006	0.804095	0.0005903219356128774,0.00601003799240152,0.022533213357328535,0.04607686462707458,0.074300099980004,0.12571621675664868,0.18468014397120575,0.1834381923615277,0.14301587682463507,0.09341631673665267,0.061322655468906216,0.03259352129574085,0.015619396120775845,0.006624795040991801,0.00277624475104979,0.00107998400319936,0.00016860627874425114,3.115376924615077e-05,6.35872825434913e-06
45	623890637	5000.0	0.001	0.00124	0.006	0.840616	0.0007074585082983404,0.0030780643871225755,0.0054809038192361525,0.01073489302139572,0.02309018196360728,0.03941031793641272,0.05984747050589882,0.08785302939412118,0.11120543891221756,0.1482120375924815,0.1484359528094381,0.13370301939612078,0.0980490301939612,0.0621116976604679,0.03377056588682264,0.01944275144971006,0.007926614677064587,0.003200919816036793,0.0025284143171365727,0.0009688462307538493,0.00020031993601279745,3.287342531493701e-05,9.118176364727055e-06,7.998400319936013e-08
48	1397868756	5000.0	0.001	0.00124	0.006	0.449827	0.001708858228354329,0.012130093981203759,0.04969406118776245,0.1104497100579884,0.13862099580083984,0.1379738052389522,0.12506898620275944,0.10436928614277144,0.08510789842031594,0.06651373725254948,0.05268030393921216,0.04184359128174365,0.02830105978804239,0.018990841831633673,0.014183003399320136,0.0089750449910018,0.002517336532693461,0.0006569886022795441,0.00017580483903219355,2.8994201159768046e-05,9.478104379124176e-06,1.199760047990402e-07
43	2546176201	5000.0	0.001	0.00124	0.006	0.692002	0.0013873225354929014,0.0026284343131373726,0.008072345530893822,0.021444431113777244,0.05257104579084183,0.09674545090981804,0.12510461907618475,0.13842019596080785,0.12304831033793241,0.10171553689262147,0.08716600679864027,0.08193813237352529,0.06886938612277545,0.0453620075984803,0.02385994801039792,0.01349106178764247,0.005456948610277944,0.0020043991201759647,0.0006419516096780644,7.118576284743052e-05,1.2397520495900819e-06,3.9992001599680065e-08
42	1252147376	5000.0	0.001	0.00124	0.006	0.817822	0.0008076784643071386,0.0009130573885222955,0.0014634673065386922,0.006314497100579884,0.01768906218756249,0.040965406918616276,0.07567638472305539,0.10155624875024995,0.11555204959008199,0.13257864427114577,0.13350049990002,0.13056688662267546,0.10329386122775445,0.05656004799040192,0.03199768046390722,0.016962287542491503,0.01532621475704859,0.00913869226154769,0.005359848030393921,0.0030393521295740853,0.0006609078184363127,6.966606678664267e-05,7.558488302339532e-06
47	4011129042	5000.0	0.001	0.00124	0.006	0.715060	0.0008407118576284743,0.0006261547690461907,0.0009404519096180764,0.0006292341531693661,0.0002262747450509898,2.2395520895820836e-05,5.742851429714057e-05,6.994601079784043e-05,0.0002321135772845431,0.0025239352129574084,0.007089182163567287,0.024956768646270746,0.047114777044591084,0.08357808438312338,0.1275116976604679,0.17198648270345931,0.17835888822235552,0.1332128774245151,0.07786798640271946,0.05033097380523895,0.037338172365526896,0.020139492101579684,0.015078304339132173,0.009898340331933613,0.003902379524095181,0.0013990801839632073,0.0020150769846030794,0.0013890821835632874,0.0004862227554489102,0.00014877024595080985,2.7234553089382125e-05,1.4797040591881624e-06
49	3313633499	5000.0	0.001	0.00124	0.006	0.526985	0.00014109178164367126,0.00028558288342331534,0.0015511697660467907,0.001656988602279544,0.000984123175364927,0.0006597080583883223,0.007570125974805039,0.03115488902219556,0.0604498700259948,0.09635824835032994,0.14451385722855428,0.16043467306538692,0.16530577884423114,0.13575620875824834,0.09602967406518696,0.05452361527694461,0.026200679864027195,0.010085342931413718,0.0035545290941811636,0.0019285342931413718,0.0005671665666866627,0.0002264747050589882,6.026794641071786e-05,1.3997200559888023e-06
51	2801074418	5000.0	0.001	0.00124	0.006	0.522636	0.001208518296340732,0.014936572685462907,0.059479304139172164,0.11923083383323335,0.1790988602279544,0.2057749650069986,0.17861135772845432,0.10969098180363927,0.06684079184163168,0.03541079784043191,0.01692009598080384,0.007367086582683463,0.0029219356128774247,0.001451869626074785,0.0006416316736652669,0.0004021595680863827,1.22375524895021e-05
